source,destination,rssi,timestamp
WB2,WB1,-26,1057733
WB1,WB2,-18,1017277
WB5,WB2,-23,1065480
WB5,WB1,-29,1065480
WB3,WB1,-48,1162539
WB3,WB2,-50,1162539
WB4,WB2,-55,1177643
WB4,WB1,-34,1177643
WB2,WB1,-27,1065744
WB1,WB2,-19,1025288
WB5,WB1,-28,1073490
WB5,WB2,-24,1073490
WB3,WB1,-48,1170551
WB4,WB2,-57,1185653
WB4,WB1,-33,1185653
WB2,WB1,-15,1073751
WB3,WB1,-47,1178562
WB4,WB1,-35,1193664
WB2,WB1,-16,1081761
WB1,WB2,-19,1041305
WB5,WB2,-23,1089511
WB5,WB1,-29,1089511
WB3,WB1,-49,1186572
WB3,WB2,-52,1186572
WB2,WB1,-15,1089772
WB1,WB2,-19,1049315
WB5,WB2,-23,1097522
WB5,WB1,-28,1097522
WB3,WB2,-52,1194583
WB4,WB1,-33,1209683
WB2,WB1,-16,1097782
WB1,WB2,-18,1057324
WB5,WB2,-23,1105533
WB5,WB1,-29,1105533
WB4,WB2,-61,1217694
WB2,WB1,-26,1105794
WB1,WB2,-19,1065334
WB5,WB2,-25,1113544
WB3,WB2,-51,1210603
WB3,WB1,-48,1210603
WB4,WB1,-34,1225705
WB2,WB1,-15,1113805
WB5,WB2,-23,1121556
WB5,WB1,-29,1121556
WB3,WB2,-49,1218615
WB4,WB2,-59,1233715
WB4,WB1,-46,1233715
WB2,WB1,-17,1121815
WB1,WB2,-17,1081351
WB5,WB2,-23,1129566
WB3,WB1,-49,1226625
WB4,WB2,-58,1241727
WB2,WB1,-16,1129826
WB5,WB1,-28,1137577
WB5,WB2,-24,1137577
WB1,WB2,-19,1089362
WB3,WB1,-53,1234636
WB3,WB2,-62,1234636
WB4,WB1,-45,1249736
WB2,WB1,-15,1137836
WB1,WB2,-19,1097373
WB5,WB2,-23,1145588
WB5,WB1,-28,1145588
WB4,WB1,-35,1257747
WB2,WB1,-17,1145848
WB5,WB2,-23,1153599
WB5,WB1,-28,1153599
WB3,WB2,-54,1250657
WB4,WB1,-42,1265757
WB2,WB1,-16,1153855
WB5,WB1,-29,1161611
WB5,WB2,-23,1161611
WB3,WB2,-53,1258666
WB3,WB1,-53,1258666
WB4,WB1,-35,1273768
WB1,WB2,-19,1121405
WB5,WB2,-23,1169621
WB5,WB1,-28,1169621
WB3,WB2,-53,1266676
WB3,WB1,-53,1266676
WB4,WB1,-36,1281779
WB4,WB2,-63,1281779
WB2,WB1,-16,1169875
WB1,WB2,-18,1129415
WB5,WB1,-29,1177632
WB5,WB2,-25,1177632
WB3,WB1,-52,1274687
WB3,WB2,-60,1274687
WB2,WB1,-26,1177885
WB1,WB2,-18,1137425
WB5,WB2,-25,1185643
WB5,WB1,-28,1185643
WB3,WB1,-48,1282698
WB2,WB1,-15,1185892
WB1,WB2,-18,1145436
WB5,WB2,-23,1193655
WB5,WB1,-29,1193655
WB3,WB1,-48,1290709
WB3,WB2,-52,1290709
WB4,WB2,-55,1305807
WB4,WB1,-35,1305807
WB2,WB1,-17,1193902
WB1,WB2,-19,1153447
WB5,WB1,-28,1201666
WB5,WB2,-23,1201666
WB3,WB2,-52,1298720
WB4,WB2,-62,1313818
WB4,WB1,-42,1313818
WB2,WB1,-16,1201912
WB1,WB2,-19,1161457
WB5,WB2,-23,1209676
WB3,WB1,-52,1306730
WB3,WB2,-61,1306730
WB4,WB1,-43,1321829
WB2,WB1,-27,1209919
WB1,WB2,-19,1169467
WB5,WB1,-28,1217687
WB5,WB2,-25,1217687
WB3,WB2,-58,1314742
WB3,WB1,-50,1314742
WB4,WB1,-35,1329839
WB2,WB1,-17,1217929
WB1,WB2,-18,1177477
WB5,WB2,-23,1225699
WB5,WB1,-29,1225699
WB3,WB1,-49,1322752
WB3,WB2,-52,1322752
WB4,WB2,-48,1337850
WB4,WB1,-34,1337850
WB2,WB1,-17,1225940
WB1,WB2,-19,1185488
WB5,WB2,-23,1233709
WB5,WB1,-28,1233709
WB4,WB1,-47,1345860
WB4,WB2,-46,1345860
WB2,WB1,-17,1233948
WB1,WB2,-18,1193495
WB5,WB1,-29,1241720
WB3,WB1,-48,1338772
WB4,WB2,-48,1353871
WB2,WB1,-15,1241958
